room_dim_meter,theta_true,RSS1_dB,RSS2_dB
2,48,-56.82085928,-31.9823471
2,49,-57.01249946,-32.18080705
2,50,-57.17483992,-32.3947161
2,51,-57.32562531,-32.61712217
2,52,-57.45268111,-32.8539627
2,53,-57.56921241,-33.1000913
2,54,-57.66737998,-33.35969254
2,55,-57.75645998,-33.62923866
2,56,-57.83198066,-33.91138069
2,57,-57.89997848,-34.20395541
2,58,-57.95847965,-34.50836693
2,59,-58.01099101,-34.82349614
2,60,-58.05729087,-35.14985284
2,61,-58.09904381,-35.48697719
2,62,-58.13714921,-35.83490016
2,63,-58.17207022,-36.19337566
2,64,-58.20528685,-36.56242974
2,65,-58.23664805,-36.94152866
2,66,-58.26773793,-37.33121981
2,67,-58.2983281,-37.73013095
2,68,-58.32967127,-38.13990195
2,69,-58.36195581,-38.55772911
2,70,-58.39569269,-38.98695228
2,71,-58.43194404,-39.42270926
2,72,-58.47008685,-39.87067439
2,73,-58.51247749,-40.32327452
2,74,-58.55698722,-40.78916976
2,75,-58.60764206,-41.2574071
2,76,-58.66047008,-41.7402897
2,77,-58.72147764,-42.22280851
2,78,-58.78457243,-42.72156158
2,79,-58.85795298,-43.21681003
2,80,-58.93323098,-43.73008053
2,81,-59.02085838,-44.236244
2,82,-59.11013513,-44.76235686
2,83,-59.21360494,-45.2772664
2,84,-59.31847884,-45.81410962
2,85,-59.43891053,-46.33512248
2,86,-59.56058498,-46.88000019
2,87,-59.69833937,-47.40385308
2,88,-59.83736206,-47.95330899
2,89,-59.99164876,-48.47595315
2,90,-60.14753816,-49.02557786
2,91,-60.31660692,-49.54276777
2,92,-60.48820635,-50.08520504
2,93,-60.66633648,-50.59271372
2,94,-60.84790011,-51.12033622
2,95,-61.02779121,-51.61120382
2,96,-61.2108372,-52.11609997
2,97,-61.3815053,-52.58246838
2,98,-61.5532243,-53.05608781
2,99,-61.69946045,-53.48973153
2,100,-61.84230618,-53.9236326
2,101,-61.94494165,-54.3168306
2,102,-62.03741003,-54.70373759
2,103,-62.07512998,-55.05036733
2,104,-62.09450695,-55.38531662
2,105,-62.04763249,-55.68188139
2,106,-61.97475661,-55.96309335
2,107,-61.8302134,-56.20931939
2,108,-61.65469382,-56.43845701
2,109,-61.40990185,-56.63721953
2,110,-61.13306512,-56.81892632
2,111,-60.79646786,-56.97554298
2,112,-60.43035214,-57.11645739
2,113,-60.01843432,-57.23764041
2,114,-59.58180892,-57.34525881
2,115,-59.11466073,-57.43808574
2,116,-58.62855732,-57.51980724
