RSS1_LoS1,RSS2_LoS1,RSS1_LoS2,RSS2_LoS2,RSS1_combined,RSS2_combined,d1,d2,room_dim_meter,theta1_true,theta2_true
0.001079696,9.94E-05,2.05E-05,6.36E-06,0.00107277,0.0000934,1.3,9.213576958,8.00000002,-1.176005207,-1.516501915
0.000635763,7.10E-05,2.00E-05,6.21E-06,0.000622072,0.0000744,1.486606873,9.413288488,8.00000001,-1.227772386,-1.517654918
0.000414767,5.46E-05,1.95E-05,6.07E-06,0.000429093,0.0000603,1.676305459,9.613012018,8.000000006,-1.267911458,-1.518760012
0.000294107,4.44E-05,1.91E-05,5.94E-06,0.000311101,0.0000454,1.868154166,9.812746866,8.000000057,-1.299849476,-1.51982012
0.000222866,3.76E-05,1.86E-05,5.82E-06,0.000224954,0.0000337,2.061552816,10.01249218,7.999999979,-1.325817664,-1.520837931
0.000177468,3.28E-05,1.82E-05,5.70E-06,0.000165397,0.0000271,2.256102838,10.21224758,8.000000028,-1.347319726,-1.521815926
0.000146595,2.91E-05,1.78E-05,5.58E-06,0.000128921,0.0000246,2.451530139,10.4120123,8.000000002,-1.365400938,-1.522756394
0.000124838,2.62E-05,1.74E-05,5.47E-06,0.000109639,0.0000241,2.647640461,10.6117859,7.999999997,-1.380808039,-1.523661453
0.000108485,2.39E-05,1.70E-05,5.36E-06,0.0000999,0.0000242,2.844292535,10.81156779,7.999999907,-1.394087471,-1.524533064
9.59E-05,2.20E-05,1.67E-05,5.26E-06,0.0000946,0.0000242,3.041381258,11.01135768,7.999999914,-1.405647649,-1.525373047
8.60E-05,2.04E-05,1.63E-05,5.16E-06,0.0000907,0.0000239,3.238826951,11.21115522,8.000000058,-1.415799585,-1.526183092
7.78E-05,1.90E-05,1.60E-05,5.06E-06,0.000087,0.0000233,3.436568054,11.41095963,7.999999987,-1.424784069,-1.526964769
7.10E-05,1.78E-05,1.57E-05,4.97E-06,0.0000832,0.0000225,3.634556365,11.6107709,8.000000043,-1.432790303,-1.527719543
6.55E-05,1.67E-05,1.54E-05,4.88E-06,0.0000793,0.0000215,3.832753587,11.81058853,8.000000053,-1.439968931,-1.528448778
1.24E-05,5.58E-05,6.81E-05,1.58E-05,0.0000804,0.0000656,3.863935811,4.257933761,7.999999983,1.388628016,-1.405647649
1.29E-05,6.05E-05,6.29E-05,1.49E-05,0.0000507,0.0000566,3.667424173,4.455333876,8.000000003,1.37874831,-1.413027589
1.36E-05,6.63E-05,5.85E-05,1.42E-05,0.0000708,0.0000711,3.471310999,4.652956054,8.000000012,1.36775111,-1.419780984
1.42E-05,7.38E-05,5.46E-05,1.35E-05,0.0000437,0.000073,3.275667869,4.850773149,8.000000013,1.355438627,-1.425983829
1.50E-05,8.37E-05,5.11E-05,1.29E-05,0.0000634,0.0000863,3.080584367,5.048762213,7.999999995,1.341564394,-1.431700385
1.60E-05,9.73E-05,4.82E-05,1.23E-05,0.0000373,0.0000957,2.886173942,5.246903836,7.999999991,1.325817664,-1.436985349
1.73E-05,0.000117373,4.55E-05,1.18E-05,0.0000607,0.00012219,2.692582402,5.445181351,7.999999993,1.307801595,-1.441885555
1.91E-05,0.00014787,4.31E-05,1.13E-05,0.0000258,0.00014089,2.500000004,5.643580413,7.999999993,1.287002218,-1.446441332
2.21E-05,0.000196244,4.10E-05,1.09E-05,0.000063,0.000206348,2.308679278,5.842088657,7.999999991,1.262743546,-1.450687591
2.70E-05,0.000277346,3.90E-05,1.05E-05,0.0000259,0.000267436,2.118962008,6.040695329,8.000000003,1.234121507,-1.4546547
3.54E-05,0.000416983,3.72E-05,1.01E-05,0.0000503,0.000419832,1.931320792,6.239390998,8.000000002,1.199905038,-1.458369196
5.00E-05,0.000668004,3.56E-05,9.73E-06,0.0000846,0.000676555,1.746424919,6.438167453,8.000000011,1.158385885,-1.46185437
7.54E-05,0.001139628,3.41E-05,9.40E-06,0.0000753,0.001137649,1.565247585,6.637017422,8.000000021,1.107148718,-1.465130745
0.000120177,0.00205463,3.27E-05,9.09E-06,0.0000922,0.002048266,1.389244398,6.835934439,7.999999974,1.042721878,-1.468216474
0.000199585,0.0038275,3.15E-05,8.81E-06,0.000173165,0.003825129,1.220655561,7.034912913,7.999999977,0.960070362,-1.471127674
0.000341124,0.006793371,3.03E-05,8.54E-06,0.00035493,0.006801623,1.063014581,7.233947747,8,0.851966327,-1.473878699
0.000565532,0.008381608,2.92E-05,8.28E-06,0.000542207,0.008382641,0.921954446,7.433034337,7.999999963,0.708626272,-1.476482375
0.000308602,0.006766084,2.82E-05,8.04E-06,0.000280385,0.006758185,0.806225775,7.6321688,8.000000039,0.519146114,-1.478950201
0.007522881,0.046536962,2.73E-05,7.82E-06,0.007536507,0.046536749,0.728010989,7.831347227,7.999999961,0.278299659,-1.481292508
0.040909004,0.041790547,2.64E-05,7.60E-06,0.040899397,0.041797711,0.7,8.030566619,8.000000014,0,-1.483518614
0.04911878,0.008412797,2.56E-05,7.40E-06,0.049116597,0.008405769,0.728010989,8.229823797,7.999999983,-0.278299659,-1.485636934
0.009809889,0.000212755,2.48E-05,7.21E-06,0.009825495,0.000212705,0.806225775,8.429116215,8.00000001,-0.519146114,-1.487655095
0.00782424,0.00052916,2.40E-05,7.03E-06,0.007800234,0.00053321,0.921954446,8.628441306,7.999999963,-0.708626272,-1.48958002
0.006923444,0.000366035,2.33E-05,6.85E-06,0.00694022,0.000360771,1.063014581,8.827796981,7.999999974,-0.851966327,-1.491418012
0.004163557,0.000240862,2.27E-05,6.69E-06,0.004177757,0.000240151,1.220655561,9.02718117,7.999999994,-0.960070362,-1.493174818
0.002382835,0.000160935,2.21E-05,6.53E-06,0.002363426,0.000166628,1.389244398,9.226592061,8.000000059,-1.042721878,-1.494855691
0.001411155,0.000111694,2.15E-05,6.38E-06,0.001426211,0.000106305,1.565247585,9.426027843,8.000000047,-1.107148718,-1.49646544
0.000883974,8.13E-05,2.09E-05,6.24E-06,0.000864422,0.0000835,1.746424919,9.625486975,7.999999975,-1.158385885,-1.498008478
0.000588157,6.20E-05,2.04E-05,6.10E-06,0.000604894,0.0000667,1.931320792,9.824968192,7.999999998,-1.199905038,-1.499488862
0.000413914,4.94E-05,1.99E-05,5.97E-06,0.000422251,0.0000454,2.118962008,10.02447004,7.999999981,-1.234121507,-1.500910325
0.00030604,4.09E-05,1.94E-05,5.84E-06,0.000289203,0.0000362,2.308679278,10.22399136,7.999999965,-1.262743546,-1.502276311
0.000236805,3.49E-05,1.89E-05,5.72E-06,0.000223258,0.0000362,2.500000004,10.42353107,7.999999994,-1.287002218,-1.503590001
0.000189897,3.05E-05,1.85E-05,5.60E-06,0.000195108,0.0000356,2.692582402,10.62308806,7.999999998,-1.307801595,-1.504854337
0.000156908,2.71E-05,1.81E-05,5.49E-06,0.000173611,0.0000322,2.886173942,10.82266135,7.999999935,-1.325817664,-1.506072045
0.000133087,2.45E-05,1.77E-05,5.38E-06,0.000149664,0.0000273,3.080584367,11.02225016,7.999999929,-1.341564394,-1.507245655
0.000115136,2.23E-05,1.73E-05,5.28E-06,0.000124334,0.0000221,3.275667869,11.22185372,8.000000043,-1.355438627,-1.508377517
