step,metric,value
100,train/m3_enabled,1.0
100,train/m3_gate_mean,0.0
100,train/m3_gate_p10,0.0
100,train/m3_gate_p90,0.0
100,train/m3_keep_ratio,0.0
100,train/m3_resid_abs_mean_deg,0.0
100,train/m3_resid_abs_p90_deg,0.0
100,train/m3_delta_clip_rate,0.0
100,train/m3_kappa_corr_spearman,-0.29508797653958946
100,train/m3_residual_penalty,0.0
100,train/m3_gate_entropy,1.4828788152954075e-05
100,train/m3_gate_threshold,0.15
100,train/m3_gate_temp_tau,1.5
100,train/m3_delta_cap_deg_effective,2.0
100,train/m3_gain_applied,1.0
100,train/m3_resid_dir_agree_rate,1.0
100,train/m3_improve_rate_1deg,0.0
100,train/m3_worsen_rate_1deg,0.0
100,train/m3_err_delta_mean_deg,-1.7881393432617188e-07
100,train/phi_quality_improve_corr,-0.25806451612903225
100,train/grad_norm_m3,0.0
110,train/loss_total,-2.299765110015869
110,train/sup0_nll,-1.1137371063232422
110,train/sup1_nll,-1.1860278844833374
110,train/recon_data_raw,407.2139892578125
110,train/recon_mix_norm,4.111492156982422
110,train/recon_mix_raw,288.07806396484375
110,train/recon_phys,0.0
110,train/deg_rmse,5.263981819152832
110,train/kappa_mean,43.63254928588867
110,train/mix_weight,0.0
110,train/mix_weighted_norm,0.0
110,train/mix_var,70.0665512084961
110,train/decoder_recon_mae_4rss,18.7253475189209
110,train/m3_enabled,1.0
110,train/m3_gate_mean,0.0
110,train/m3_gate_p10,0.0
110,train/m3_gate_p90,0.0
110,train/m3_keep_ratio,0.0
110,train/m3_resid_abs_mean_deg,0.0
110,train/m3_resid_abs_p90_deg,0.0
110,train/m3_delta_clip_rate,0.0
110,train/m3_kappa_corr_spearman,0.01063049853372434
110,train/m3_residual_penalty,0.0
110,train/m3_gate_entropy,1.4828788152954075e-05
110,train/m3_gate_threshold,0.15
110,train/m3_gate_temp_tau,1.5
110,train/m3_delta_cap_deg_effective,2.0
110,train/m3_gain_applied,1.0
110,train/m3_resid_dir_agree_rate,1.0
110,train/m3_improve_rate_1deg,0.0
110,train/m3_worsen_rate_1deg,0.0
110,train/m3_err_delta_mean_deg,3.0547380447387695e-07
110,train/phi_quality_improve_corr,0.06781524926686217
110,train/grad_norm_m3,0.0
120,train/loss_total,-1.4716180562973022
120,train/sup0_nll,-0.8275346755981445
120,train/sup1_nll,-0.644083559513092
120,train/recon_data_raw,505.3992614746094
120,train/recon_mix_norm,6.981682777404785
120,train/recon_mix_raw,415.7106628417969
120,train/recon_phys,0.0
120,train/deg_rmse,7.664804935455322
120,train/kappa_mean,35.19194030761719
120,train/mix_weight,0.0
