sample_id,split,domain_id,is_labeled,rss1_combined_dbm,rss2_combined_dbm,delta_db,sum_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_dbm,rss_b_p1_dbm,rss_a_p2_dbm,rss_b_p2_dbm,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
5334,train,0,1,-1.1343144720601535,7.316951099977594,8.451265572037748,6.18263662791744,1.945975812310791,-1.1343144720601535,7.316951099977594,-0.19019996321927315,7.327489317772539,-5.488970031663074,-15.985994592184557,0.36520145,-1.101196407,3.640054945,7.5133215,7.999999998,1
5335,train,0,1,2.1664323180107177,8.604556994025739,6.438124676015021,10.770989312036455,1.4824329905829308,2.1664323180107177,8.604556994025739,2.182778454333553,8.615087228053646,-5.924731341970465,-16.30784142589857,0.312901228,-1.112962606,3.573513677,7.692203849,8.000000004,1
5336,train,0,1,4.492623553088862,9.528580422169636,5.035956869080774,14.021203975258498,1.1595719215706357,4.492623553088862,9.528580422169636,4.201895110362748,9.532258433714114,-6.3502148666408385,-16.595558851598817,0.258770892,-1.124192522,3.517101079,7.872102645,8.000000004,1
5337,train,0,1,6.052384420291956,10.115567421725675,4.063183001433719,16.16795184201763,0.9355824609208085,6.052384420291956,10.115567421725675,5.925858677534947,10.123571694928533,-6.764550303507147,-16.90369832574101,0.203045217,-1.134919354,3.471310991,8.052949763,7.999999991,1
5338,train,0,1,7.241452338411525,10.41379182338061,3.1723394849690845,17.655244161792133,0.7304581608006223,7.241452338411525,10.41379182338061,7.3807735172645526,10.411762736329838,-7.166897235889907,-17.189666327522726,0.146012258,-1.145173858,3.436568056,8.234682742,7.999999992,1
5339,train,0,1,8.655286408535659,10.402846114687414,1.7475597061517547,19.058132523223072,0.4023904928502087,8.655286408535659,10.402846114687414,8.561803303540621,10.407916797072701,-7.5613633622161665,-17.47146969020107,0.088007374,-1.154984538,3.413209633,8.417244209,8.000000006,1
5340,train,0,1,9.429075250624635,10.123133943284714,0.6940586926600787,19.55220919390935,0.15981291993820368,9.429075250624635,10.123133943284714,9.474228888986138,10.120744316449095,-7.9395439656704685,-17.721132953863265,0.029403288,-1.164377824,3.40147027,8.600581373,7.999999996,1
5341,train,0,1,10.066008023853655,9.548624323218887,-0.5173837006347686,19.614632347072543,-0.11913199964397098,10.066008023853655,9.548624323218887,10.112156742422956,9.548765024384522,-8.310313534452341,-17.986028756795484,-0.029403288,-1.173378243,3.40147027,8.784645698,8.000000003,1
5342,train,0,1,10.48769847763178,8.695472315438327,-1.7922261621934528,19.183170793070104,-0.4126753244340574,10.48769847763178,8.695472315438327,10.464254687206449,8.703838874709566,-8.669179797484626,-18.239087409443187,-0.088007374,-1.182008566,3.413209633,8.969392409,8.00000001,1
5343,train,0,1,10.529509804882007,7.60172616832545,-2.9277836365565575,18.131235973207456,-0.6741470957047025,10.529509804882007,7.60172616832545,10.53360067068682,7.592405909426621,-9.019830792883747,-18.477116556169435,-0.146012258,-1.19028995,3.436568056,9.154780179,8.000000006,1
