sample_id,split,domain_id,is_labeled,c1_rel_db,c2_rel_db,delta_rel_db,sum_rel_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_rel_db,rss_b_p1_rel_db,rss_a_p2_rel_db,rss_b_p2_rel_db,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
2169,train,0,1,-19.791594346113847,-24.762487221684278,-4.970892875570431,-44.55408156779812,-1.1445903834158775,-49.79159434611385,-54.76248722168428,-19.773581634751928,-24.751913318513598,-40.118871597316485,-49.1721462968355,-0.244978663,-1.222025323,3.2984845,9.363759923,7.999999995,1
2170,train,0,1,-20.575680343518794,-26.72890064358933,-6.1532203000705366,-47.304580987108125,-1.4168313336850766,-50.5756803435188,-56.72890064358933,-20.567815813150688,-26.731396151642848,-40.433514207947965,-49.35542010773082,-0.302884868,-1.229180836,3.352610922,9.551963145,7.999999997,1
2171,train,0,1,-21.6741617795638,-29.014306816033695,-7.340145036469895,-50.6884685955975,-1.690130854138982,-51.6741617795638,-59.014306816033695,-21.728357080213495,-29.042220164769258,-40.736575533743455,-49.586073148417746,-0.35877067,-1.236059489,3.417601498,9.740636516,7.999999987,1
2172,train,0,1,-23.399554311913665,-31.82507349454933,-8.425519182635664,-55.22462780646299,-1.9400474870672255,-53.39955431191366,-61.82507349454933,-23.326158859059447,-31.79607387891716,-41.02922996790579,-49.78810700930062,-0.412410442,-1.242676432,3.49284984,9.929753276,8.000000005,1
2173,train,0,1,-25.434451050276227,-35.37709840325298,-9.942647352976753,-60.81154945352921,-2.2893791579860974,-55.43445105027622,-65.37709840325297,-25.501809328581196,-35.24404347719226,-41.313555616051744,-49.95678626217358,-0.463647609,-1.249045772,3.577708764,10.1192885,7.999999987,1
2174,train,0,1,-28.356281070664828,-40.42392712939905,-12.06764605873422,-68.78020820006387,-2.778678192236977,-58.35628107066483,-70.42392712939905,-28.56661942534455,-40.26410376572743,-41.58640529545145,-50.14124642691606,-0.51238946,-1.255180665,3.671511949,10.30921918,8.000000007,1
2175,train,0,1,-31.117660120042665,-42.34331445240986,-11.225654332367192,-73.46097457245253,-2.5848024324812724,-61.117660120042665,-72.34331445240986,-31.40245238039911,-42.81498311132726,-41.85086818724926,-50.315170514460654,-0.558599315,-1.261093382,3.773592452,10.49952379,7.999999992,1
2176,train,0,1,-29.497896632295078,-40.35269078946371,-10.85479415716863,-69.85058742175879,-2.4994087213815352,-59.49789663229508,-70.35269078946371,-29.7338625750295,-40.172766123314545,-42.10419287835575,-50.48176964684088,-0.602287346,-1.266795387,3.883297567,10.6901824,7.999999988,1
2177,train,0,1,-28.354196454018936,-39.3952125037783,-11.041016049759367,-67.74940895779724,-2.542287896768393,-58.35419645401893,-69.39521250377831,-28.32746780122033,-39.334467353233535,-42.35823867609669,-50.644927341752876,-0.643501109,-1.272297395,4.000000001,10.8811764,7.999999991,1
2178,train,0,1,-27.65662950659177,-39.12708504163289,-11.470455535041118,-66.78371454822465,-2.641169992483672,-57.65662950659177,-69.12708504163288,-27.666096479423146,-39.15706194682527,-42.59637310505756,-50.79876673709276,-0.682316555,-1.27760943,4.123105626,11.07248842,7.99999999,1
2179,train,0,1,-27.52061085972748,-39.047783270837044,-11.527172411109564,-66.56839413056453,-2.6542295358193115,-57.52061085972748,-69.04778327083704,-27.435456519641708,-39.268867848839555,-42.82329496997738,-50.94743951251549,-0.71883,-1.28274088,4.252058327,11.26410228,8.000000006,1
2180,train,0,1,-27.36802707580579,-39.70530995312307,-12.337282877317278,-67.07333702892886,-2.8407643641361453,-57.36802707580579,-69.70530995312308,-27.466993184597115,-39.519701557731885,-43.04518323509803,-51.095789811990855,-0.753151281,-1.287700541,4.38634244,11.45600277,7.999999976,1
2181,train,0,1,-27.562807675534348,-40.16824927962187,-12.60544160408752,-67.73105695515622,-2.9025101928178874,-57.562807675534344,-70.16824927962188,-27.667702969292783,-39.839700369239765,-43.269790928711046,-51.23205023799299,-0.785398163,-1.292496668,4.525483398,11.64817583,8.00000001,1
2182,train,0,1,-27.911830982536582,-40.51587034221399,-12.604039359677405,-68.42770132475057,-2.9021873141103405,-57.911830982536586,-70.51587034221399,-27.980913105118578,-40.195421077239,-43.47753658996677,-51.36677139879544,-0.815691923,-1.297137006,4.66904701,11.8406081,8.000000011,1
2183,train,0,1,-28.294126858279,-40.9366495819491,-12.642522723670098,-69.2307764402281,-2.9110484361361246,-58.294126858279,-70.9366495819491,-28.369821210109492,-40.57495893831919,-43.67542707815276,-51.49966742310231,-0.844153986,-1.301628834,4.816637831,12.03328716,7.999999996,1
2184,train,0,1,-28.696794213895508,-41.301817920206716,-12.605023706311208,-69.99861213410222,-2.902413968298874,-58.69679421389551,-71.30181792020672,-28.818805040379733,-40.963674839157626,-43.87216143280264,-51.62411561764489,-0.870903457,-1.305978997,4.967896939,12.22620138,8.000000008,1
2185,train,0,1,-29.734744981003168,-28.698866516682497,1.035878464320671,-58.43361149768566,0.23851983100983418,-59.73474498100317,-58.6988665166825,-40.95284454721319,-28.693025415634562,-29.45441714426337,-41.52427340857888,0.840896669,-0.890275102,5.099019516,5.403702434,8.000000002,1
2186,train,0,1,-29.559649885851094,-28.349225367525435,1.2104245183256594,-57.90887525337653,0.27871054520911637,-59.559649885851094,-58.349225367525435,-40.47691990337875,-28.268192696063615,-29.925304643557382,-41.89767482004916,0.813961821,-0.912907722,4.95176736,5.560575513,8.000000002,1
